fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,dia_semana,año,mes,dia_mes,nombre_dia_semana,es_fin_semana,es_festivo,es_black_Friday,es_cyber_Monday,semana_año,trimestre,es_laborable,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,media_movil_7d,descuento_porcentaje,precio_competencia,ratio_precio,nombre_h,categoria_h,subcategoria_h,nombre_h_Adidas Own The Run Jacket,nombre_h_Adidas Ultraboost 23,nombre_h_Asics Gel Nimbus 25,nombre_h_Bowflex SelectTech 552,nombre_h_Columbia Silver Ridge,nombre_h_Decathlon Bandas Elásticas Set,nombre_h_Domyos BM900,nombre_h_Domyos Kit Mancuernas 20kg,nombre_h_Gaiam Premium Yoga Block,nombre_h_Liforme Yoga Pad,nombre_h_Lotuscrafts Yoga Bolster,nombre_h_Manduka PRO Yoga Mat,nombre_h_Merrell Moab 2 GTX,nombre_h_New Balance Fresh Foam X 1080v12,nombre_h_Nike Air Zoom Pegasus 40,nombre_h_Nike Dri-FIT Miler,nombre_h_Puma Velocity Nitro 2,nombre_h_Quechua MH500,nombre_h_Reebok Floatride Energy 5,nombre_h_Reebok Professional Deck,nombre_h_Salomon Speedcross 5 GTX,nombre_h_Sveltus Kettlebell 12kg,nombre_h_The North Face Borealis,nombre_h_Trek Marlin 7,categoria_h_Fitness,categoria_h_Outdoor,categoria_h_Running,categoria_h_Wellness,subcategoria_h_Banco Gimnasio,subcategoria_h_Bandas Elásticas,subcategoria_h_Bicicleta Montaña,subcategoria_h_Bloque Yoga,subcategoria_h_Cojín Yoga,subcategoria_h_Esterilla Fitness,subcategoria_h_Esterilla Yoga,subcategoria_h_Mancuernas Ajustables,subcategoria_h_Mochila Trekking,subcategoria_h_Pesa Rusa,subcategoria_h_Pesas Casa,subcategoria_h_Rodillera Yoga,subcategoria_h_Ropa Montaña,subcategoria_h_Ropa Running,subcategoria_h_Zapatillas Running,subcategoria_h_Zapatillas Trail
2021-11-11,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,118.11,1181.1,3,2021,11,11,Thursday,False,False,False,False,45,4,True,10.0,11.0,9.0,10.0,10.0,10.0,12.0,10.285714285714286,2.7,96.62666666666667,1.2223333793293776,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-12,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,112.34,1235.74,4,2021,11,12,Friday,False,False,False,False,45,4,True,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,-2.31,95.24000000000001,1.1795464090718184,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-13,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,17,114.11,1939.87,5,2021,11,13,Saturday,True,False,False,False,45,4,False,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.142857142857142,-0.77,97.05000000000001,1.175785677485832,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-14,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,116.81,1051.29,6,2021,11,14,Sunday,True,False,False,False,45,4,False,17.0,11.0,10.0,10.0,11.0,9.0,10.0,11.142857142857142,1.57,96.96666666666665,1.2046407700240633,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-15,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,115.08,1380.96,0,2021,11,15,Monday,False,False,False,False,46,4,True,9.0,17.0,11.0,10.0,10.0,11.0,9.0,11.0,0.07,95.46333333333332,1.2054890184713154,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-16,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,113.96,1253.56,1,2021,11,16,Tuesday,False,False,False,False,46,4,True,12.0,9.0,17.0,11.0,10.0,10.0,11.0,11.428571428571429,-0.9,95.14333333333333,1.1977717829240093,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-17,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,113.51,1135.1,2,2021,11,17,Wednesday,False,False,False,False,46,4,True,11.0,12.0,9.0,17.0,11.0,10.0,10.0,11.428571428571429,-1.3,96.04333333333334,1.1818623537986326,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-18,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,113.01,1017.09,3,2021,11,18,Thursday,False,False,False,False,46,4,True,10.0,11.0,12.0,9.0,17.0,11.0,10.0,11.428571428571429,-1.73,97.34333333333332,1.1609423689346987,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-19,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,111.67,1563.38,4,2021,11,19,Friday,False,False,False,False,46,4,True,9.0,10.0,11.0,12.0,9.0,17.0,11.0,11.285714285714286,-2.9,97.22333333333334,1.1485925875132854,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-20,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,13,115.2,1497.6,5,2021,11,20,Saturday,True,False,False,False,46,4,False,14.0,9.0,10.0,11.0,12.0,9.0,17.0,11.714285714285714,0.17,95.38333333333333,1.2077581687925913,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-21,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,115.93,1159.3,6,2021,11,21,Sunday,True,False,False,False,46,4,False,13.0,14.0,9.0,10.0,11.0,12.0,9.0,11.142857142857142,0.81,95.92666666666666,1.2085273472791718,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-22,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,114.98,1264.78,0,2021,11,22,Monday,False,False,False,False,47,4,True,10.0,13.0,14.0,9.0,10.0,11.0,12.0,11.285714285714286,-0.02,94.78666666666668,1.2130398086932057,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-23,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,112.09,1345.08,1,2021,11,23,Tuesday,False,False,False,False,47,4,True,11.0,10.0,13.0,14.0,9.0,10.0,11.0,11.142857142857142,-2.53,89.32,1.2549261083743843,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-24,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,111.91,1566.74,2,2021,11,24,Wednesday,False,False,False,False,47,4,True,12.0,11.0,10.0,13.0,14.0,9.0,10.0,11.285714285714286,-2.69,87.97333333333334,1.272090027280994,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-25,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,112.33,1572.62,3,2021,11,25,Thursday,False,False,False,False,47,4,True,14.0,12.0,11.0,10.0,13.0,14.0,9.0,11.857142857142858,-2.32,90.26333333333332,1.2444698844122752,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-26,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,44,97.75,4301.0,4,2021,11,26,Friday,False,False,True,False,47,4,True,14.0,14.0,12.0,11.0,10.0,13.0,14.0,12.571428571428571,-15.0,92.94583333333334,1.051687811001031,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-27,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,49,101.2,4958.8,5,2021,11,27,Saturday,True,False,False,False,47,4,False,44.0,14.0,14.0,12.0,11.0,10.0,13.0,16.857142857142858,-12.0,97.29583333333333,1.0401267611665455,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-28,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,36,101.2,3643.2,6,2021,11,28,Sunday,True,False,False,False,47,4,False,49.0,44.0,14.0,14.0,12.0,11.0,10.0,22.0,-12.0,97.66666666666667,1.0361774744027303,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-29,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,36,97.75,3519.0,0,2021,11,29,Monday,False,False,False,True,48,4,True,36.0,49.0,44.0,14.0,14.0,12.0,11.0,25.714285714285715,-15.0,93.05,1.0505104782375068,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-30,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,35,105.8,3703.0,1,2021,11,30,Tuesday,False,False,False,False,48,4,True,36.0,36.0,49.0,44.0,14.0,14.0,12.0,29.285714285714285,-8.0,105.97083333333335,0.9983879212047339,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,112.83,1128.3,1,2022,11,1,Tuesday,False,True,False,False,44,4,False,9.0,14.0,14.0,12.0,12.0,11.0,10.0,11.714285714285714,-1.89,98.87666666666667,1.1411185652159255,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,15,112.95,1694.25,2,2022,11,2,Wednesday,False,False,False,False,44,4,True,10.0,9.0,14.0,14.0,12.0,12.0,11.0,11.714285714285714,-1.78,98.80666666666667,1.143141488428581,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-03,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,114.98,1034.82,3,2022,11,3,Thursday,False,False,False,False,44,4,True,15.0,10.0,9.0,14.0,14.0,12.0,12.0,12.285714285714286,-0.02,100.41333333333334,1.1450670561678395,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-04,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,114.49,1373.88,4,2022,11,4,Friday,False,False,False,False,44,4,True,9.0,15.0,10.0,9.0,14.0,14.0,12.0,11.857142857142858,-0.44,100.24333333333333,1.1421208392910585,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-05,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,18,112.65,2027.7,5,2022,11,5,Saturday,True,False,False,False,44,4,False,12.0,9.0,15.0,10.0,9.0,14.0,14.0,11.857142857142858,-2.04,99.30333333333334,1.1344030076197509,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-06,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,117.88,1060.92,6,2022,11,6,Sunday,True,False,False,False,44,4,False,18.0,12.0,9.0,15.0,10.0,9.0,14.0,12.428571428571429,2.5,101.21666666666665,1.16463033097316,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-07,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,115.72,1041.48,0,2022,11,7,Monday,False,False,False,False,45,4,True,9.0,18.0,12.0,9.0,15.0,10.0,9.0,11.714285714285714,0.63,98.87666666666667,1.1703468968074706,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-08,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,116.59,1049.31,1,2022,11,8,Tuesday,False,False,False,False,45,4,True,9.0,9.0,18.0,12.0,9.0,15.0,10.0,11.714285714285714,1.38,99.65333333333335,1.1699558469360447,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-09,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,116.68,1050.12,2,2022,11,9,Wednesday,False,False,False,False,45,4,True,9.0,9.0,9.0,18.0,12.0,9.0,15.0,11.571428571428571,1.46,99.10000000000001,1.177396569122099,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-10,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,117.99,1297.89,3,2022,11,10,Thursday,False,False,False,False,45,4,True,9.0,9.0,9.0,9.0,18.0,12.0,9.0,10.714285714285714,2.6,99.74333333333334,1.18293620292083,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-11,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,13,114.08,1483.04,4,2022,11,11,Friday,False,False,False,False,45,4,True,11.0,9.0,9.0,9.0,9.0,18.0,12.0,11.0,-0.8,99.10666666666667,1.1510830082066459,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-12,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,116.05,1276.55,5,2022,11,12,Saturday,True,False,False,False,45,4,False,13.0,11.0,9.0,9.0,9.0,9.0,18.0,11.142857142857142,0.91,97.62333333333333,1.1887526889063407,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-13,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,13,113.06,1469.78,6,2022,11,13,Sunday,True,False,False,False,45,4,False,11.0,13.0,11.0,9.0,9.0,9.0,9.0,10.142857142857142,-1.69,99.94333333333334,1.1312410365873995,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-14,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,116.78,1167.8,0,2022,11,14,Monday,False,False,False,False,46,4,True,13.0,11.0,13.0,11.0,9.0,9.0,9.0,10.714285714285714,1.55,98.86,1.1812664373862027,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-15,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,117.9,1296.9,1,2022,11,15,Tuesday,False,False,False,False,46,4,True,10.0,13.0,11.0,13.0,11.0,9.0,9.0,10.857142857142858,2.52,98.73333333333333,1.1941255908170156,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-16,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,113.05,1243.55,2,2022,11,16,Wednesday,False,False,False,False,46,4,True,11.0,10.0,13.0,11.0,13.0,11.0,9.0,11.142857142857142,-1.7,99.72333333333334,1.1336363940234648,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
